StationName,LatDD,LongDD,StnID
ALTONA,49.10,-97.53,63
ARBORG,50.90,-97.27,64
ASHERN,51.17,-98.33,65
BALDUR,49.36,-99.25,66
BEAUSEJOUR2,50.12,-96.43,67
BINSCARTH,50.62,-101.28,1
BIRCHRIVER,52.35,-101.11,68
BIRTLE,50.41,-100.89,216
BISSETT,51.03,-95.66,70
BRANDONA,49.88,-99.91,2
BRANDONCDA,49.88,-99.91,71
BROADVALLEY,50.98,-97.65,72
CHURCHILLA,58.75,-94.07,6
CROSSLAKE_JENPEG,54.53,-98.04,73
CYPRESSRIVER,49.56,-99.09,8
DAUPHINA,51.15,-100.06,9
DEERWOOD,49.40,-98.39,55
DELORAINE,49.15,-100.49,74
DELTA_UNIVERSITYFS,50.20,-98.21,10
ELMCREEK,49.68,-97.98,75
EMERSON,49.01,-97.21,11
FALCONLAKE_TCPL,49.69,-95.32,76
FISHERBRANCHS,51.08,-97.61,56
FLINFLONA,54.77,-101.85,12
GILBERTPLAINS,51.15,-100.48,78
GILLAMA,56.36,-94.71,13
GIMLI,50.62,-97.00,14
GLADSTONE_SOUTH,50.17,-98.94,79
GLENBORO,49.55,-99.33,80
GLENLEA,49.65,-97.12,236
GRANDRAPIDS_HYDRO,53.18,-99.26,16
GRASSRIVER,50.52,-99.00,82
GREATFALLS,50.46,-96.01,83
HAMIOTA,50.19,-100.60,84
HODGSON2,51.21,-97.57,85
INDIANBAY,49.63,-95.19,86
ISLANDLAKE,53.87,-94.65,19
LANGRUTH,50.39,-98.67,87
LYNNLAKEA,56.85,-101.07,23
MACGREGOR,49.97,-98.77,88
MARQUETTE,50.06,-97.73,89
MINNEDOSA,50.27,-99.76,90
MORDENCDA,49.21,-98.06,29
MYRTLE,49.35,-97.84,91
NEEPAWAWATER,50.22,-99.46,30
NIVERVILLE,49.60,-97.03,92
NORWAYHOUSEA,53.98,-97.83,31
OAKNER,50.09,-100.59,93
PASQUIAPROJ_PFRA,53.76,-101.62,94
PEACEGARDENS,49.00,-100.07,95
PIERSON,49.18,-101.26,232
PINAWAWNRE,50.15,-95.88,35
PINEDOCK,51.62,-96.81,96
PINEFALLS,50.57,-96.22,97
PINEY,49.07,-95.98,98
PLUMCOULEE,49.19,-97.75,99
PORTAGELAPR,49.99,-98.30,37
PORTAGELAPR2,49.91,-98.28,100
RATHWELL,49.65,-98.54,101
ROSSBURN,50.68,-100.81,102
RUSSELL,50.79,-101.29,215
SELKIRK,50.17,-96.87,103
SOMERSET,49.41,-98.65,104
SPRAGUE,49.04,-95.64,41
STARBUCK,49.77,-97.62,42
STEINBACH,49.50,-96.70,223
STONEWALL,50.13,-97.32,105
STONYMTN,50.09,-97.22,106
STRATHCLAIR,50.40,-100.40,107
SWANRIVER,52.10,-101.27,44
THEPASA,53.97,-101.09,45
VIRDEN,49.88,-100.92,49
VOGAR,50.95,-98.65,108
WILSONCRWEIR,50.74,-99.52,62
WINNIPEGA,49.91,-97.24,52


64
65
66
67
1
68
216
70
2
71
72
6
73
8
9
55
74
10
75
11
76
56
12
78
13
14
79
80
236
16
82
83
84
85
86
19
87
23
88
89
90
29
91
30
92
31
93
94
95
232
35
96
97
98
99
37
100
101
102
215
103
104
41
42
223
105
106
107
44
45
49
108
62
52

